Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regresi Faktorial,Chrome 110.0.0.0,,,2023-03-05 22:42:28,2023-03-05 22:43:54,1m - 25.872s,FAILED
,,,,,,,
Test Cases/Menghitung Faktorial Integer,Chrome 110.0.0.0,,,2023-03-05 22:42:29,2023-03-05 22:42:43,14.645s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-05 22:42:30,2023-03-05 22:42:35,5.667s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 110.0.0.0,,,2023-03-05 22:42:35,2023-03-05 22:42:38,2.738s,PASSED
"setText(findTestObject(""Object Repository/Page_Faktoriall/input_Kalkulator Faktorial_input""), Input)",Chrome 110.0.0.0,,,2023-03-05 22:42:38,2023-03-05 22:42:39,1.354s,PASSED
"click(findTestObject(""Object Repository/Page_Faktoriall/button_Hitung                              _be4487""))",Chrome 110.0.0.0,,,2023-03-05 22:42:39,2023-03-05 22:42:40,0.581s,PASSED
"verifyElementPresent(findTestObject(""Page_Faktoriall/div_Faktorial dari 10 adalah 3628800""), 3)",Chrome 110.0.0.0,,,2023-03-05 22:42:40,2023-03-05 22:42:41,0.847s,PASSED
takeScreenshot(),Chrome 110.0.0.0,,,2023-03-05 22:42:41,2023-03-05 22:42:41,0.623s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-03-05 22:42:41,2023-03-05 22:42:43,2.037s,PASSED
,,,,,,,
Test Cases/Menghitung Faktorial Integer,Chrome 110.0.0.0,,,2023-03-05 22:42:44,2023-03-05 22:42:54,10.190s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-05 22:42:44,2023-03-05 22:42:46,2.419s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 110.0.0.0,,,2023-03-05 22:42:46,2023-03-05 22:42:49,2.613s,PASSED
"setText(findTestObject(""Object Repository/Page_Faktoriall/input_Kalkulator Faktorial_input""), Input)",Chrome 110.0.0.0,,,2023-03-05 22:42:49,2023-03-05 22:42:50,1.210s,PASSED
"click(findTestObject(""Object Repository/Page_Faktoriall/button_Hitung                              _be4487""))",Chrome 110.0.0.0,,,2023-03-05 22:42:50,2023-03-05 22:42:50,0.583s,PASSED
"verifyElementPresent(findTestObject(""Page_Faktoriall/div_Faktorial dari 10 adalah 3628800""), 3)",Chrome 110.0.0.0,,,2023-03-05 22:42:50,2023-03-05 22:42:51,0.764s,PASSED
takeScreenshot(),Chrome 110.0.0.0,,,2023-03-05 22:42:51,2023-03-05 22:42:52,0.541s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-03-05 22:42:52,2023-03-05 22:42:54,2.006s,PASSED
,,,,,,,
Test Cases/Menghitung Faktorial Integer,Chrome 110.0.0.0,,,2023-03-05 22:42:54,2023-03-05 22:43:04,10.232s,PASSED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-05 22:42:54,2023-03-05 22:42:56,2.510s,PASSED
"navigateToUrl(""https://qa.putraprima.id/"")",Chrome 110.0.0.0,,,2023-03-05 22:42:56,2023-03-05 22:42:59,2.421s,PASSED
"setText(findTestObject(""Object Repository/Page_Faktoriall/input_Kalkulator Faktorial_input""), Input)",Chrome 110.0.0.0,,,2023-03-05 22:42:59,2023-03-05 22:43:00,1.339s,PASSED
"click(findTestObject(""Object Repository/Page_Faktoriall/button_Hitung                              _be4487""))",Chrome 110.0.0.0,,,2023-03-05 22:43:00,2023-03-05 22:43:01,0.557s,PASSED
"verifyElementPresent(findTestObject(""Page_Faktoriall/div_Faktorial dari 10 adalah 3628800""), 3)",Chrome 110.0.0.0,,,2023-03-05 22:43:01,2023-03-05 22:43:01,0.800s,PASSED
takeScreenshot(),Chrome 110.0.0.0,,,2023-03-05 22:43:01,2023-03-05 22:43:02,0.571s,PASSED
delay(2),Chrome 110.0.0.0,,,2023-03-05 22:43:02,2023-03-05 22:43:04,2.008s,PASSED
,,,,,,,
Test Cases/Menghitung Faktorial Integer,Chrome 110.0.0.0,,,2023-03-05 22:43:04,2023-03-05 22:43:16,11.604s,FAILED
"openBrowser("""")",Chrome 110.0.0.0,,,2023-03-05 22:43:04,2023-03-05 22:43:07,2.539s,PASSED
